candidate_id,window,lapse_rate_k_per_km,site_minus_model_height_km,hours_above_273_15_k
sedongpu-2018,7d_buffered,4,1,31
sedongpu-2018,7d_buffered,4,2,0
sedongpu-2018,7d_buffered,6.5,-1,163
sedongpu-2018,7d_buffered,6.5,0,121
sedongpu-2018,7d_buffered,6.5,1,0
sedongpu-2018,7d_buffered,6.5,2,0
sedongpu-2018,7d_buffered,9,-1,166
sedongpu-2018,7d_buffered,9,0,121
sedongpu-2018,7d_buffered,9,1,0
sedongpu-2018,7d_buffered,9,2,0
sedongpu-2017-oct,7d,4,-1,168
sedongpu-2017-oct,7d,4,0,156
sedongpu-2017-oct,7d,4,1,50
sedongpu-2017-oct,7d,4,2,10
sedongpu-2017-oct,7d,6.5,-1,168
sedongpu-2017-oct,7d,6.5,0,156
sedongpu-2017-oct,7d,6.5,1,22
sedongpu-2017-oct,7d,6.5,2,0
sedongpu-2017-oct,7d,9,-1,168
sedongpu-2017-oct,7d,9,0,156
sedongpu-2017-oct,7d,9,1,5
sedongpu-2017-oct,7d,9,2,0
sedongpu-2017-oct,7d_buffered,4,-1,168
sedongpu-2017-oct,7d_buffered,4,0,156
sedongpu-2017-oct,7d_buffered,4,1,59
sedongpu-2017-oct,7d_buffered,4,2,10
sedongpu-2017-oct,7d_buffered,6.5,-1,168
sedongpu-2017-oct,7d_buffered,6.5,0,156
sedongpu-2017-oct,7d_buffered,6.5,1,22
sedongpu-2017-oct,7d_buffered,6.5,2,0
sedongpu-2017-oct,7d_buffered,9,-1,168
sedongpu-2017-oct,7d_buffered,9,0,156
sedongpu-2017-oct,7d_buffered,9,1,5
sedongpu-2017-oct,7d_buffered,9,2,0
sedongpu-2021-mar,7d,4,-1,148
sedongpu-2021-mar,7d,4,0,42
sedongpu-2021-mar,7d,4,1,0
sedongpu-2021-mar,7d,4,2,0
sedongpu-2021-mar,7d,6.5,-1,168
sedongpu-2021-mar,7d,6.5,0,42
sedongpu-2021-mar,7d,6.5,1,0
sedongpu-2021-mar,7d,6.5,2,0
sedongpu-2021-mar,7d,9,-1,168
sedongpu-2021-mar,7d,9,0,42
sedongpu-2021-mar,7d,9,1,0
sedongpu-2021-mar,7d,9,2,0
sedongpu-2021-mar,7d_buffered,4,-1,151
sedongpu-2021-mar,7d_buffered,4,0,40
sedongpu-2021-mar,7d_buffered,4,1,0
sedongpu-2021-mar,7d_buffered,4,2,0
sedongpu-2021-mar,7d_buffered,6.5,-1,168
sedongpu-2021-mar,7d_buffered,6.5,0,40
sedongpu-2021-mar,7d_buffered,6.5,1,0
sedongpu-2021-mar,7d_buffered,6.5,2,0
sedongpu-2021-mar,7d_buffered,9,-1,168
sedongpu-2021-mar,7d_buffered,9,0,40
sedongpu-2021-mar,7d_buffered,9,1,0
sedongpu-2021-mar,7d_buffered,9,2,0
yulong-2004,7d,4,-1,168
yulong-2004,7d,4,0,163
yulong-2004,7d,4,1,133
yulong-2004,7d,4,2,85
yulong-2004,7d,6.5,-1,168
yulong-2004,7d,6.5,0,163
yulong-2004,7d,6.5,1,97
yulong-2004,7d,6.5,2,27
yulong-2004,7d,9,-1,168
yulong-2004,7d,9,0,163
yulong-2004,7d,9,1,75
