rgi_id,polygon_area_m2,intersected_area_m2,planar_relative_closure_error,geodesic_representation_difference,weight_sum
RGI2000-v7.0-G-13-62360,2404548.32253174,2404548.32253174,8.881784197001252e-16,0,1
RGI2000-v7.0-G-13-62671,2528819.386773787,2528819.386773787,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-63291,1209932.224043558,1209932.224043558,5.551115123125783e-16,0,1
RGI2000-v7.0-G-13-63553,2014165.223462528,2014165.223462528,1.110223024625157e-16,0,1
RGI2000-v7.0-G-13-64159,5057965.715420818,5057965.715420818,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-64333,999666.2413940367,999666.2413940367,1.110223024625157e-16,0,1
RGI2000-v7.0-G-13-64353,4454508.650653399,4454508.650653399,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-64410,12599183.21601999,12599183.21568232,2.220446049250313e-16,2.680067279214882e-11,1
RGI2000-v7.0-G-13-64411,883565.4411061443,883565.4411061443,3.33066907387547e-16,0,1
RGI2000-v7.0-G-13-64657,1498249.630553071,1498249.630553071,3.33066907387547e-16,0,1
RGI2000-v7.0-G-13-64675,1266023.760052382,1266023.760771994,1.021405182655144e-14,5.684035464526005e-10,1
RGI2000-v7.0-G-13-64718,1920292.783652999,1920292.783652999,8.881784197001252e-16,0,1
RGI2000-v7.0-G-13-64786,2143407.561129789,2143407.561129789,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-64859,1507531.562155684,1507531.562191532,1.110223024625157e-15,2.37796449198413e-11,1
RGI2000-v7.0-G-13-65011,1592277.70484052,1592277.70484052,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-65048,1033546.882157495,1033546.882157495,0,0,1
RGI2000-v7.0-G-13-65173,1230333.464864623,1230333.464864623,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-65609,1847008.853727418,1847008.853727418,0,0,1
RGI2000-v7.0-G-13-65720,2117459.861771793,2117459.861771793,0,0,1
RGI2000-v7.0-G-13-65809,11971962.07816298,11971962.06077177,2.220446049250313e-16,1.452661213541262e-09,1
RGI2000-v7.0-G-13-65939,1321327.140635995,1321327.140635995,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-66450,1815529.711857556,1815529.711857556,4.440892098500626e-16,0,1
