latitude,longitude,year,hour_count,t2m_mean_k,missing_reason
38.00,71.75,2014,8760,265.94384477867925,
38.25,70.25,2014,8760,279.21770751639588,
38.25,71.00,2014,8760,270.83788933078995,
38.50,70.50,2014,8760,275.21942360237853,
38.50,71.00,2014,8760,271.30829324069089,
38.50,71.25,2014,8760,268.75571985462483,
38.50,72.00,2014,8760,263.17956201387869,
38.75,71.00,2014,8760,270.38601112191537,
38.75,71.25,2014,8760,267.72817902412589,
38.75,71.75,2014,8760,264.48309100947966,
38.75,72.00,2014,8760,261.96213058576194,
39.00,70.50,2014,8760,276.3985468145919,
39.00,70.75,2014,8760,273.53755065708947,
39.00,71.00,2014,8760,272.67792615672766,
39.00,71.25,2014,8760,270.93383371710235,
39.25,72.00,2014,8760,264.74053227150279,
39.50,72.00,2014,8760,270.86708922190206,
39.50,73.75,2014,8760,264.91873755084868,
28.25,89.75,2015,8760,268.39251296335158,
28.25,90.00,2015,8760,266.04245008355406,
28.25,90.25,2015,8760,265.46097179569608,
29.25,83.75,2015,8760,266.13898290346748,
30.00,82.50,2015,8760,266.04661275436888,
30.00,85.00,2015,8760,264.57387001002758,
30.25,82.00,2015,8760,264.99934405670865,
30.25,82.25,2015,8760,264.7384014234151,
30.50,84.25,2015,8760,264.91131607473716,
30.50,86.50,2015,8760,271.18352481197547,
30.75,82.75,2015,8760,263.90646871453549,
30.75,83.00,2015,8760,264.20118057216138,
30.75,83.25,2015,8760,265.13738027250383,
31.00,82.25,2015,8760,264.75936851153091,
31.00,82.50,2015,8760,264.63485880812556,
