candidate_id,matching_level,pool_size,rgi_id,digest,rank,selected
aru-2-2016,1,928,RGI2000-v7.0-G-13-62289,006cc35c81c9bf8d003b55e21aa17fac136a542d7ce584e503d14659fe1dfb0f,4,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-59135,00b156885729e65736f1d5083f65a3a683ce927ca21787ff69370e1eead1650d,5,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-62671,011697f3d3a4aee998d6aeffa8b7a4a8d7d73aee1c7050d52a7a20670edb0d29,6,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-66555,013bc84c5f7ef88262105308c49798b35fedff4c9bc47eda035f1de83789191a,7,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-58443,01813a6a7969b678048a59443f3001bd6cb1a504b6766543c97c6d2b34131f0f,8,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-64410,02168b76a9907b6cada469419bb25b8012bc98825adb8db1cdaa48b6b6791af7,9,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-65011,021777f391e93efbdf29faf1f04d9e934e2fe2bf680a85bfbd333a49b30b4766,10,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-62307,02a8bb5c5698e5ffd76b9a10e4e0f35660e14d926f1b669fac77f4f315da65e0,11,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-58810,02c6170c5562f259492e27a24518bda6ebc195db552e2aba14cdf022d71fd838,12,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-64159,037398f8699c45ea5e3d41173355b02159332d66b8d7272d014628f02a8967cb,13,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-65609,03ba8a7d6c4797a1e0bd58c94899870c0c5df865616ee6433b54eaa4d7dcd9e0,14,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-66733,03badcaa8d33ff9bf175c763c48339f1dbede847633e7952bc07179244392cd6,15,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-63291,03d79464291fc5a1c7de668034f4af338b05a0e919684c2b2f76d2277682919d,16,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-58791,0409f880a5fa6ea34a0657d54aa41475ed56eb555b9822b3a8c486c52c1cceaa,17,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-60310,04218643e5bfda66571b6d2057344db980c75740120bc41879fbd6fcb156c4c6,18,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-64786,045dc315df83a696887135b42e63c58ca32fe3c6823aa051f9a7223342b9d22d,19,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-59888,048738bea9bbe60d435810d5452fa3790434fc29a3046a54409a4c33443df60a,20,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-19294,0047d0f13bbb78f0cb7353a05c07310f3af56d81daa34b5783cd0228c13489f2,1,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-05349,011bde580634b539915a707f687fae344e41c32211b3bf823cb9b7bcd6be01c4,2,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-06918,01eda5f39f95ff50341a3a611c1a461f9b9a0454ff5dd1e122c9c3abeb25bd0d,3,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-07398,02a54a2021d1d9782c2b730ac0e0acc754763e4e009a47ef2819b74d26e011ce,4,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-05381,02d0f83cb3c55bd1419585885d8b250ebfd703d58e74a1217d0e4b586dc79edc,5,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-07291,02d1f8d728cb3042e86fffda849a96df98b4d9b030864d77e0772dcde36de5c0,6,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-19104,032a3a6e1f5a2218dd44c6b859e3986fcafb44e70ba90937655e3400de8b2648,7,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-19384,03837395fb7a420e24250e9fac16bf39bfb8e5ba4e7886d706ffa0eef63cedef,8,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-07351,0436e53445ab1a5f3a5fc066e62826992c26b1daafba743ae4e8fa4212ef4738,9,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-05558,057b822fecb4f9f23f12ee83c68197cd2fa8356c5ecfddeb08c81b3adf18c2aa,10,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-06091,05a572c81dfae0ea6e42df0cafeef071ec66c7fd1cd50eba0a5bdb557d1276ed,11,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-06917,063923a30d42c3cee2c5e312dee86c98a029e5ec6b279097273d6dd1ef95885d,12,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-07737,065555cf5bcda99f2dfc9d1c914a4e58a6ca05c43d3cd3df584860d6768fec93,13,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-07259,0734bc9133a1d68e754369146be3b8198dd5e8e377d7e2a55262ff964b21d00c,14,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-19393,073dbf4b5335d63e5d3e9f298b5c9e5c299f710641a4d8bed1e3802088f4eb0b,15,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-05526,08ab0519ef6a96c604482966b1b36674f33f1ff988e09cffad097e0bca7b4d34,16,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-07632,09e8e5561049def0c879e5fb3791c09e3edb7ad7b50e60ab6b4f2f981b5e0c30,17,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-19397,0b264b2263748a1e9d684aaa3412f570ae7ab7ffcd21e6d9a64b630c771fe3ca,18,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-19189,0b6f717c4e01f6cc0d37525b442720c7735a98ad4c326a4ea9f588a05e98efc5,19,True
shuraki-kapali-2017,1,255,RGI2000-v7.0-G-13-20061,0bfb6be4b3297f995accede87ceef7c801ace67852741b1da85a5d02f4858df8,20,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-24868,00ddf4f90df776261b51085aa6008d708062c90ee700a544484d435d597d00a6,1,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-29328,010e9e139697ff3da6ea82b1e802afebfea15f9451faeb051ff5d8ac94464afe,2,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-25532,029bcf8d9a0e437fff0ab730dafe28742c064a96df5be393b2b7abbe85939251,3,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-25231,0506ac262467537329ee949fb1dd0998f9366b3bb53b107e4c0824ca57204f62,4,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-25037,05bcb2ed485741a2e0e5dc22c473df3a0ed981d3c9382878f5af4e2673bba2cc,5,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-24691,06750332de79e3536f85f6e71aa25803dc35ffb7f7322d492538c9f601bcd38a,6,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-25684,06c3b9460bfbef7442b46679bb728bd81e433e84f6fb647bdd07c4045ceb80c6,7,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-24851,082bafbdd13adf8572b631b462373e1658120a14a7fd418e5474fc405fa68ce3,8,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-25190,085868fa543e4ca65298332a619e9118616a591e126156f8641b784401728044,9,True
tinguiririca-2007,1,242,RGI2000-v7.0-G-17-24694,0b5f97169a17bc7e6c3c1b8d294fdd8010338bc4aa35d18428eb3a0507dd3433,10,True
